repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,99.97333333333333,100.0,0.11426929274467233,99.4,100.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,26.787921682940407,24.1899348732004,8.815727706768877,15.938378268599626,45.17341735160007
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,331.46,320.0,109.19699566411599,169.2,512.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1235525331.6266668,1232314368.0,22000028.79645891,1195343872.0,1283833856.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,18542374857.386665,18609287987.2,200586368.79450646,18060673024.0,18740150272.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M2_post_plan_deterministic,M2 post-plan gate,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,81.98666666666666,82.0,0.3748409624446577,80.2,82.4
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,20791756499.626667,20838704742.4,311578567.87711364,19921829888.0,21131886592.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,3517.28222,3327.8253,678.5084722134275,2518.1234,5146.9178
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,100.0,100.0,0.0,100.0,100.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,5943.526666666667,4906.299999999999,2631.8752378371264,2816.6,11557.6
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,20.040198213846793,19.06689324889958,4.020418769339536,13.585503135797627,28.855843234398343
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,2.0,2.0,0.0,2.0,2.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,205.76000000000002,194.60000000000002,39.59325613074129,160.4,315.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1236407691.9466667,1236898201.6,14727412.046909941,1207607296.0,1263199027.2
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,20310525651.626667,20357473894.4,311578567.87711364,19440599040.0,20650655744.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M3_stage_wise,M3 stage-wise,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,82.03999999999999,82.0,0.4767707466147505,79.8,82.6
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,20173949501.44,20246888448.0,235723316.54847836,19492752588.8,20391591936.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,9796.354246666666,8926.8845,3221.2239741108365,5680.036,16575.852
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,100.0,100.0,0.0,100.0,100.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,6015.7,4963.799999999999,2656.246780574114,2867.4,11867.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,56.028169508873106,51.399460710598945,18.81615773637215,32.8871138159986,95.77584355279978
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,2.0,2.0,0.0,2.0,2.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,652.5666666666667,637.2,216.79329473873992,341.0,1024.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1296330342.4,1292630425.6,30257460.69831424,1240793088.0,1352888320.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,19692718653.44,19765657600.0,235723316.54847836,19011521740.8,19910361088.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M4_post_plan_compute_matched,M4 compute-matched,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,81.56,81.9,1.1595480689207902,76.6,82.4
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8530100224.0,8550652313.6,117879576.6337083,8338001100.8,8702066688.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,1451.7654666666667,1307.0328,456.78659342593136,937.9974,2742.7876
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,97.4,100.0,4.474910902599839,81.8,100.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,7.761197964066329,6.72402087940136,2.3878335495897285,4.743309250596212,15.418330524800695
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,1.0,1.0,0.0,1.0,1.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,247.54,226.9,78.06637582520888,137.8,426.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1251714744.32,1252119347.2,6878119.719281759,1239045734.4,1265036492.8
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8048869376.0,8069421465.6,117879576.6337083,7856770252.8,8220835840.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M1_monolithic,M1 monolithic,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,80.98,82.0,1.595121874059611,77.4,83.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,8530100224.0,8550652313.6,117879576.6337083,8338001100.8,8702066688.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,1453.4493533333334,1291.9092999999998,446.806575755373,950.1384,2769.3563999999997
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,98.44,100.0,3.2514824205328994,90.8,100.0
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,2787.5533333333337,2285.6000000000004,1320.7549436573775,1210.2,5609.6
2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M2_post_plan_deterministic,M2 post-plan gate,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,7.850621595260843,6.880691889100126,2.414271148820216,4.747060025602695,15.58771959640435
